INC;Código;Descrição;Quantidade;Valor Total LÌquido;% Lucratividade;Lucro;
F;101617;SUCO PRONTO VIGOR MOR 200ML;219;501,51;21,83;109,5;
F;100865;CREME DE LEITE NESTLE LT 300G ;219;1.530,81;20,77;318,02;
F;108716;REFRI NATUCRIM LIMAO 500ML ;218;645,02;23,73;153,09;
F;102647;CR DENTAL SORRISO TRIP LIMP COMP 70G ;218;528,73;15,21;80,4;
F;12720;AGUA MIN S/GAS PURISSIMA 510 ML ;217;357,83;35,25;126,12;
F;11515;PRATO DESC BCO FUNDO CRISTALCOPO C/10 23CM ;217;1.620,83;24,22;392,56;
F;100407;MOLHO TOM POMAROLA TRAD TP 260G ;216;556,48;31,02;172,63;
F;22822;BISC AMORI RECH MORANGO 125G ;216;800,94;28,14;225,37;
T;13954;LEITE UHT TIROL INTEGRAL 1L ;216;1.980,84;27,55;545,64;
F;101237;IOGURTE FRUT GURT MOR SCH 600G ;216;1.091,74;22,77;248,61;
F;20330;CHICLETE TRIDENT MAX HORTELA 16,5G ;216;645,84;22,28;143,91;
F;119482;CUPCAKE UN ;215;1.072,85;38,85;416,76;
F;10701;DROPS HALLS MORANGO ;214;318,86;33,14;105,67;
F;11388;KINDER JOY C/SURP F 20G ;214;1.594,18;23,28;371,15;
F;10503;BONOBON BRIGADEIRO ;213;210,87;32,91;69,4;
F;109784;AGUA MIN SANTA CLAUDIA C/GAS 500ML ;212;399,88;36,61;146,41;
F;105900;REFRI SUKITA 2L ;212;1.451,18;23,75;344,65;
F;14161;PAO DE FORMA  PULLMAN INTEGRAL 400G ;212;2.253,68;23,25;523,98;
F;22288;BISC CREAM CRAC RICHESTER SUP 350G ;212;1.445,88;22,22;321,33;
F;101153;BISC RECH NESTLE PASSATEMPO CHOC 130G ;212;691,68;18,74;129,63;
F;112843;SAB ALBANY BCO LEITE DE COCO 85G ;212;493,48;16,81;82,93;
F;121944;BOLO MESCLADO KG ;211,44;4.857,85;48,73;2.367,46;
F;118356;BOLO CONFEITADO ;211;17.935,00;48,04;8.616,71;
F;106958;SALGADINHO FANDANGOS QUEIJO 45G ;211;525,39;21,87;114,89;
F;101733;REFRI FANTA SPLASH UVA 500ML ;211;947,39;19,35;183,31;
F;101793;MAXIXE KG;210,25;3.067,37;43,92;1.347,16;
F;107334;BOLINHO BAUDUCCO CHOC 40G;210;417,9;25,85;108,02;
F;118346;MAC CUP NOODLES CARNE DEF 69G ;210;1.006,90;24,75;249,24;
F;118971;BOLO DE CHOCOLATE KG ;209,18;4.755,31;43,25;2.056,45;
F;22831;REFRI TUCHAUA CHAMP PET 1L ;209;617,11;31,84;196,49;
F;115516;GOMA DORI GOMETS 70G ;209;786,41;25,98;204,3;
F;119269;SALGADINHO CHEETOS ONDA REQ 140G ;209;2.547,91;22,32;568,71;
F;12475;MOCOTO KG ;208,02;2.869,08;29,56;848,19;
F;100198;SARD 88 C/OLEO 125G ;208;1.234,12;29,28;361,3;
F;21549;PRESUNTO FAT PERD PT 200G ;208;2.113,92;26,2;553,76;
F;118796;FEIJAO KICALDO FRADINHO PRAIA 1KG ;208;1.430,77;19,74;282,49;
